customer_id,customer_name,region,segment,signup_date
1,Priya Mehta,Central,Consumer,2023-09-11
2,Diya Verma,East,Consumer,2024-07-21
3,Diya Chatterjee,South,Consumer,2024-12-25
4,Vivaan Iyer,North,Small Business,2025-05-30
5,Kiara Verma,Central,Consumer,2024-11-16
6,Karan Iyer,Central,Consumer,2025-06-22
7,Tanya Chatterjee,West,Consumer,2024-04-29
8,Neha Iyer,North,Consumer,2024-03-17
9,Priya Singh,West,Consumer,2025-01-16
10,Vivaan Joshi,North,Consumer,2025-01-15
11,Kiara Rao,North,Consumer,2023-07-14
12,Manav Mehta,South,Consumer,2023-10-13
13,Sanya Iyer,North,Consumer,2025-06-01
14,Manav Verma,North,Corporate,2024-07-07
15,Aarav Verma,South,Consumer,2024-05-12
16,Karan Iyer,West,Small Business,2023-06-18
17,Arjun Sharma,West,Consumer,2025-03-13
18,Sanya Nair,West,Corporate,2025-01-18
19,Manav Joshi,West,Consumer,2023-10-31
20,Ananya Sharma,Central,Corporate,2023-03-04
21,Kiara Sharma,North,Corporate,2024-05-29
22,Riya Gupta,North,Small Business,2023-03-24
23,Kabir Verma,Central,Consumer,2025-06-01
24,Diya Singh,North,Small Business,2024-08-06
25,Diya Chatterjee,Central,Consumer,2023-03-25
26,Neha Joshi,Central,Corporate,2023-11-20
27,Saanvi Iyer,East,Consumer,2024-02-10
28,Rohan Joshi,East,Consumer,2025-02-08
29,Aditya Sharma,West,Corporate,2024-07-30
30,Ishaan Verma,Central,Consumer,2023-09-29
31,Rohan Das,East,Small Business,2025-06-19
32,Diya Reddy,East,Consumer,2025-05-03
33,Manav Bose,East,Corporate,2025-04-06
34,Riya Sharma,Central,Consumer,2024-11-10
35,Ishaan Das,South,Consumer,2025-06-30
36,Ishaan Bose,Central,Consumer,2023-10-16
37,Rahul Iyer,East,Consumer,2024-10-11
38,Saanvi Kapoor,West,Consumer,2025-05-16
39,Vivaan Verma,West,Small Business,2023-02-15
40,Aarav Reddy,South,Corporate,2023-09-26
41,Kabir Bose,West,Corporate,2024-03-13
42,Manav Sharma,North,Consumer,2025-06-23
43,Rohan Kapoor,North,Small Business,2024-08-19
44,Manav Gupta,West,Consumer,2023-11-12
45,Priya Das,North,Small Business,2023-08-04
46,Diya Joshi,North,Consumer,2024-07-27
47,Neha Chatterjee,South,Small Business,2023-08-31
48,Kabir Rao,South,Small Business,2023-01-26
49,Kabir Bose,East,Corporate,2024-02-26
50,Diya Nair,South,Corporate,2023-04-21
51,Arjun Malhotra,North,Small Business,2023-08-16
52,Ananya Malhotra,West,Consumer,2025-04-20
53,Diya Iyer,North,Corporate,2024-02-13
54,Kiara Nair,North,Small Business,2023-10-13
55,Priya Joshi,Central,Consumer,2025-05-13
56,Manav Reddy,North,Consumer,2023-09-25
57,Kabir Chatterjee,East,Consumer,2024-09-02
58,Neha Reddy,East,Consumer,2024-06-07
59,Ishaan Singh,Central,Consumer,2023-02-15
60,Neha Sharma,Central,Small Business,2024-07-05
61,Ananya Reddy,West,Consumer,2024-11-11
62,Kiara Chatterjee,East,Corporate,2023-05-08
63,Meera Kapoor,East,Corporate,2023-12-01
64,Arjun Bose,East,Corporate,2023-07-16
65,Neha Joshi,West,Corporate,2023-06-28
66,Rahul Chatterjee,East,Consumer,2025-05-03
